16607 0.009407 68.340000 1 0.000000
16525 0.770425 0.000000 1 0.000000
12546 0.127304 0.000000 1 0.000000
14321 0.078715 3.150000 1 0.000000
13409 0.331357 0.000000 1 0.000000
13911 0.159976 3.700000 1 0.000000
16235 0.131928 0.000000 1 0.000000
15183 0.068903 7.410000 1 0.000000
14557 0.005637 49.080000 1 0.000000
15971 0.016667 45.190000 1 0.000000
13904 0.226442 0.000000 1 0.000000
14358 3.553886 0.000000 1 0.000000
3931 0.245333 0.000000 1 0.000000
15758 0.345456 0.000000 1 0.000000
13687 0.722468 0.000000 1 0.000000
16444 0.207603 0.000000 1 0.000000
11140 0.550719 0.000000 1 0.000000
19286 0.541293 0.000000 1 0.000000
19122 0.194184 2.220000 1 0.000000
5242 0.007873 62.970000 1 0.000000
14406 0.041775 8.890000 1 0.000000
15981 0.016481 40.740000 1 0.000000
